ISI,Fast_Trough,Marker
29.41575758,-57.37500381,Pvalb
15.54,-46.91250229,Pvalb
,-53.62500381,Pvalb
,-62.31250381,Pvalb
13.29241379,-59.03125,Pvalb
23.229,-51.15625381,Pvalb
11.30862069,-59.21875381,Pvalb
28.83294118,-56.57500458,Pvalb
14.55876923,-52.25625229,Pvalb
31.499,-58.45625305,Pvalb
28.56,-53.48750305,Pvalb
17.75037037,-57.40625381,Pvalb
18.8304,-55.34375,Pvalb
14.01647059,-53.58750153,Pvalb
23.803,-63.56250381,Pvalb
7.954482759,-58.46875,Pvalb
10.62133333,-59.80000305,Pvalb
,-68.5625,Pvalb
23.22904762,-55.85000229,Pvalb
20.78869565,-48.84375381,Pvalb
14.79882353,-54.75000381,Pvalb
40.16352941,-52.95625305,Pvalb
13.74,-58.40625381,Pvalb
38.552,-45.79999924,Pvalb
15.77322581,-48.06250381,Pvalb
,-47.65625381,Pvalb
11.40229885,-55.4375,Pvalb
31.43655172,-53.49374771,Pvalb
9.158139535,-57.15625381,Pvalb
187.9866667,-54.18750381,Pvalb
22.05860465,-48.62500381,Pvalb
29.25466667,-55.53125381,Pvalb
30.8225,-59.33750153,Pvalb
18.64153846,-49.81250381,Pvalb
13.55260274,-51.00000381,Pvalb
30.47,-61.03125381,Pvalb
,-50.18750381,Pvalb
32.48357143,-53.80624771,Pvalb
20.4625641,-53.89375305,Pvalb
12.89151515,-52.28125381,Pvalb
51.49368421,-56.18750381,Pvalb
12.93333333,-53.29375458,Pvalb
23.85804878,-45.46875,Pvalb
49.104,-58.84375381,Pvalb
10.88222222,-53.60000229,Pvalb
11.42148148,-56.3125,Pvalb
13.72,-57.56250381,Pvalb
35.0008,-40.35000229,Pvalb
32.12275862,-54.91249847,Pvalb
13.54666667,-54.875,Pvalb
12.66347826,-45.53125,Pvalb
17.69381818,-45,Pvalb
22.17454545,-55.70000458,Pvalb
19.2312,-45.20625305,Pvalb
13.92488889,-51.70000458,Pvalb
22.57428571,-52.06250381,Pvalb
15.82483871,-62.31250381,Pvalb
23.57128205,-57.71249771,Pvalb
14.35789474,-63.25000381,Pvalb
21.38666667,-51.83750153,Pvalb
26.86971429,-53.31250381,Pvalb
11.02,-61.65625,Pvalb
14.73034483,-53.08125305,Pvalb
27.024,-49.42500305,Pvalb
20.02333333,-49.18750381,Pvalb
15.20454545,-53.62500381,Pvalb
14.26761905,-35.12500381,Pvalb
31.07,-54.76250458,Pvalb
18.91666667,-52.01250458,Pvalb
13.34,-51.97500229,Pvalb
20.75319149,-53.37500381,Pvalb
15.11538462,-43.66875458,Pvalb
9.276981132,-49.61875153,Pvalb
10.01010101,-66.09375,Pvalb
13.12173913,-58.35000229,Pvalb
21.18,-56.3125,Pvalb
11.38,-55.65625381,Pvalb
20.49222222,-59.78125381,Pvalb
14.20753623,-59.00000381,Pvalb
11.05233333,-54.74375153,Pvalb
8.86036036,-64.87500763,Pvalb
9.192897196,-51.31250381,Pvalb
10.54473118,-52.28125381,Pvalb
16.39636364,-61.43750381,Pvalb
